Handle,Name,Birthday,Height,Unit,Fan Name,Hashtags,URL,Unnamed: 0
@YukihanaLamy,Yukihana Lamy,November 15,158 cm,hololive 5th Generation,Yukimin (Snowfolk),Stream Tag: #らみらいぶ | Fan Art: ＃LamyArt,https://hololive.hololivepro.com/en/talents/yukihana-lamy/,7
@LaplusDarknesss,La+ Darknesss,May 25,139 cm,holoX,+mate,Stream Tags ： #laplus_great | Fan Art ： #Laplus_Artdesu,https://hololive.hololivepro.com/en/talents/la-darknesss/,24
@SakamataChloe,[Affiliate] Sakamata Chloe,May 18,148 ㎝,holoX,Handlers,Stream Tags : #またまたさかまた | Fan Art : #さかまた飼育日記,https://hololive.hololivepro.com/en/talents/sakamata-chloe/,31
@KoboKanaeru,Kobo Kanaeru,December 12,150 cm,hololive Indonesia,Kobokerz,-,https://hololive.hololivepro.com/en/talents/kobo-kanaeru/,48
@TsukumoSana,[Alum] Tsukumo Sana,June 10,169cm (With limiter and without limiter 1697 840 000 000),hololive English -Council-,Sanallite,Stream Tag: #SanaLanding | Fan Art: #galaxillust | Fan Name: #Sanallite,https://hololive.hololivepro.com/en/talents/tsukumo-sana/,36
@KikiraraVivi,Kikirara Vivi,August 27,161 cm,FLOW GLOW,-,-,https://hololive.hololivepro.com/en/talents/kikirara-vivi/,65
@AmaneKanata,Amane Kanata,April 22,149 cm,hololive 4th Generation,Hey-min,Stream Tag: #天界学園放送部 | Fan Art: #かなたーと,https://hololive.hololivepro.com/en/talents/amane-kanata/,70
@AiraniIofifteen,Airani Iofifteen,July 15,150 ㎝,hololive Indonesia,IOFORIA,Stream Tag: #ioLYFE | Fan Art: #ioarts | Meme: #iomemes | Fan Name: #IOFORIA | OBISA!,https://hololive.hololivepro.com/en/talents/airani-iofifteen/,35
@TakanashiKiara,Takanashi Kiara,July 6,165 cm,hololive English -Myth-,KFP,Stream Tags: #kfp #キアライブ | Fan Art: #artsofashes #絵ニックス,https://hololive.hololivepro.com/en/talents/takanashi-kiara/,42
@MinatoAqua,[Alum] Minato Aqua,December 1,148 cm,hololive 2nd Generation,Aqua Crew,Stream Tag: #湊あくあ生放送 | Fan Art: #あくあーと,https://hololive.hololivepro.com/en/talents/minato-aqua/,45
@ShishiroBotan,Shishiro Botan,September 8,166 cm,hololive 5th Generation,SSRB,Stream Tag: #ぐうたらいぶ | Fan Art: #ししらーと,https://hololive.hololivepro.com/en/talents/shishiro-botan/,59
@KiryuCoco,[Alum] Kiryu Coco,June 17,180 cm (7 m in dragon form),hololive 4th Generation,Tatsunoko (Little Dragons),Stream Tag: #ココここ | Fan Art: #みかじ絵,https://hololive.hololivepro.com/en/talents/kiryu-coco/,68
@holoen_raorapanthera,Raora Panthera,May 11,158 cm,hololive English -Justice-,-,-,https://hololive.hololivepro.com/en/talents/raora-panthera/,41
@NakiriAyame,Nakiri Ayame,December 13,152 cm,hololive 2nd Generation,Nakiri Gang,Stream Tag: #百鬼あやめch | Fan Art: #百鬼絵巻,https://hololive.hololivepro.com/en/talents/nakiri-ayame/,0
@NanashiMumei,[Alum] Nanashi Mumei,August 4,156 cm,hololive English -Promise-,Hoomans,Stream Tag: #watchMEI | Fan Art: #drawMEI #ムメ絵 | Meme: #memeMEI,https://hololive.hololivepro.com/en/talents/nanashi-mumei/,20
-,[Retirement] Friend A (A-chan),February 28,157.1 cm,Office Staff,-,Fanart: #絵ーちゃん | Monthly streams: #ホロのこしかけ,https://hololive.hololivepro.com/en/talents/friend-a/,62
@TodorokiHajime,Todoroki Hajime,June 7,155 cm,ReGLOSS,Massugumi,Stream Tag: #ぶんぶんばんちょー | Art Tag: #はじめ武勇伝,https://hololive.hololivepro.com/en/talents/todoroki-hajime/,50
@NinomaeInanis,Ninomae Ina'nis,May 20,157 cm,hololive English -Myth-,Tentacult,Stream Tags: #TAKOTIME #タコタイム | Fan Art: #inART #いなート,https://hololive.hololivepro.com/en/talents/ninomae-inanis/,13
@HoushouMarine,Houshou Marine,July 30,150 cm,hololive 3rd Generation,Houshou no Ichimi (Houshou's Pirate Crew),Stream Tag: #マリン航海記 | Fan Art: #マリンのお宝,https://hololive.hololivepro.com/en/talents/houshou-marine/,23
@ShioriNovella,Shiori Novella,May 2,163 cm,hololive English -Advent-,-,-,https://hololive.hololivepro.com/en/talents/shiori-novella/,14
@KosekiBijou,Koseki Bijou,April 14,140 cm,hololive English -Advent-,-,-,https://hololive.hololivepro.com/en/talents/koseki-bijou/,61
@FUWAMOCOch,Fuwawa Abyssgard,February 1,155 cm,hololive English -Advent-,-,-,https://hololive.hololivepro.com/en/talents/fuwawa-abyssgard/,3
@AnyaMelfissa,Anya Melfissa,March 12,147 cm,hololive Indonesia,Melfriends,LIVE：#Liveissa | Fan ART：#anyatelier,https://hololive.hololivepro.com/en/talents/anya-melfissa/,26
@Robocosan,Robocosan,May 23,154 cm,hololive Generation 0,'Roboser' from 'Robot Circle' or 'Robotics Club',Stream Tag: #ロボ子生放送 | Fan Art: #ロボ子Art,https://hololive.hololivepro.com/en/talents/roboco-san/,47
@KaelaKovalskia,Kaela Kovalskia,August 30,173 cm,hololive Indonesia,Pemaloe,-,https://hololive.hololivepro.com/en/talents/kaela-kovalskia/,16
@AyundaRisu,Ayunda Risu,January 15,153㎝,hololive Indonesia,Risuners,-,https://hololive.hololivepro.com/en/talents/ayunda-risu/,28
@VestiaZeta,Vestia Zeta,November 7,155 cm,hololive Indonesia,Zecretary,-,https://hololive.hololivepro.com/en/talents/vestia-zeta/,74
@holoen_erbloodflame,Elizabeth Rose Bloodflame,April 25,171 cm,hololive English -Justice-,-,-,https://hololive.hololivepro.com/en/talents/elizabeth-rose-bloodflame/,9
@MizumiyaSu,Mizumiya Su,June 16,151 cm,FLOW GLOW,-,-,https://hololive.hololivepro.com/en/talents/mizumiya-su/,11
@holoen_ceciliaimmergreen,Cecilia Immergreen,November 11,162 cm,hololive English -Justice-,-,-,https://hololive.hololivepro.com/en/talents/cecilia-immergreen/,57
@OmaruPolka,Omaru Polka,January 30,153 cm,hololive 5th Generation,ZA-IN,Stream Tag: #ポルカ公演中 | Fan Art: #絵まる,https://hololive.hololivepro.com/en/talents/omaru-polka/,15
@IchijouRirika,Ichijou Ririka,May 12,162 cm,ReGLOSS,Secretary-in-Training,Stream Tag: #莉々華ミーティング中 | Art Tag: #ririkart,https://hololive.hololivepro.com/en/talents/ichijou-ririka/,33
@OozoraSubaru,Oozora Subaru,July 2,154 cm,hololive 2nd Generation,Subatomo,Stream Tag: #生スバル | Fan Art: #プロテインザスバル,https://hololive.hololivepro.com/en/talents/oozora-subaru/,39
@TakaneLui,Takane Lui,June 11,161 ㎝,holoX,Lui-tomo,Stream Tags ： #たかねの見物 | Fan Art ： #Luillust,https://hololive.hololivepro.com/en/talents/takane-lui/,58
@InugamiKorone,Inugami Korone,October 1,156 cm,hololive GAMERS,Koronesky (Korone Likers),Stream Tag: #生神もんざえもん | Fan Art: #できたてころね,https://hololive.hololivepro.com/en/talents/inugami-korone/,38
@HakosBaelz,Hakos Baelz,February 29,149 cm,hololive English -Promise-,Brats,Stream Tag: #TeleBAE | Fan Art: #BaelzBrush | Music: #BaeBeatz | Meme: #YABAE,https://hololive.hololivepro.com/en/talents/hakos-baelz/,32
@MoonaHoshinova,Moona Hoshinova,February 15,165㎝,hololive Indonesia,Moonafic,Stream Tag: #MoonA_Live | Fan Art: #HoshinovArt | Singing: #MoonUtau | Meme: #GrassMoona | Minecraft: #MoonArchitect,https://hololive.hololivepro.com/en/talents/moona-hoshinova/,4
@HiodoshiAo,Hiodoshi Ao,February 27,171 cm,ReGLOSS,Scholars,Stream Tag: #青原稿中 | Art Tag: #青ペン,https://hololive.hololivepro.com/en/talents/hiodoshi-ao/,53
@OuroKronii,Ouro Kronii,March 14,168 cm,hololive English -Promise-,Kronies,Stream Tag: #krotime | Fan Art: #kronillust,https://hololive.hololivepro.com/en/talents/ouro-kronii/,67
@kazamairoha,Kazama Iroha,June 18,156 cm,holoX,Kazama Tai,Stream Tags: #かざま修行中 | Fan Art: #いろはにも絵を,https://hololive.hololivepro.com/en/talents/kazama-iroha/,60
